id_match,match_number,stage,group,home_team,away_team,hot,hot_reason,home_score,away_score,match_status,start_utc,start_local,local_timezone,start_china,venue,city,country,source_page_url,api_url
400021484,66,First Stage,Group H,Uruguay,Spain,True,Traditional power matchup,,,1,2026-06-27T00:00:00+00:00,2026-06-26T18:00:00-06:00,America/Mexico_City,2026-06-27T08:00:00+08:00,Guadalajara Stadium,Guadalajara,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021508,67,First Stage,Group L,Panama,England,False,,,,1,2026-06-27T21:00:00+00:00,2026-06-27T17:00:00-04:00,America/New_York,2026-06-28T05:00:00+08:00,New York/New Jersey Stadium,New Jersey,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021509,68,First Stage,Group L,Croatia,Ghana,True,High-attention team,,,1,2026-06-27T21:00:00+00:00,2026-06-27T17:00:00-04:00,America/New_York,2026-06-28T05:00:00+08:00,Philadelphia Stadium,Philadelphia,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021497,69,First Stage,Group J,Algeria,Austria,False,,,,1,2026-06-28T02:00:00+00:00,2026-06-27T21:00:00-05:00,America/Chicago,2026-06-28T10:00:00+08:00,Kansas City Stadium,Kansas City,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021495,70,First Stage,Group J,Jordan,Argentina,False,,,,1,2026-06-28T02:00:00+00:00,2026-06-27T21:00:00-05:00,America/Chicago,2026-06-28T10:00:00+08:00,Dallas Stadium,Dallas,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021505,71,First Stage,Group K,Colombia,Portugal,True,High-attention team,,,1,2026-06-27T23:30:00+00:00,2026-06-27T19:30:00-04:00,America/New_York,2026-06-28T07:30:00+08:00,Miami Stadium,Miami,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021500,72,First Stage,Group K,Congo DR,Uzbekistan,False,,,,1,2026-06-27T23:30:00+00:00,2026-06-27T19:30:00-04:00,America/New_York,2026-06-28T07:30:00+08:00,Atlanta Stadium,Atlanta,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021518,73,Round of 32,,2A,2B,False,,,,1,2026-06-28T19:00:00+00:00,2026-06-28T12:00:00-07:00,America/Los_Angeles,2026-06-29T03:00:00+08:00,Los Angeles Stadium,Los Angeles,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021513,74,Round of 32,,1E,3ABCDF,False,,,,1,2026-06-29T20:30:00+00:00,2026-06-29T16:30:00-04:00,America/New_York,2026-06-30T04:30:00+08:00,Boston Stadium,Boston,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021522,75,Round of 32,,1F,2C,False,,,,1,2026-06-30T01:00:00+00:00,2026-06-29T19:00:00-06:00,America/Monterrey,2026-06-30T09:00:00+08:00,Monterrey Stadium,Monterrey,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021516,76,Round of 32,,1C,2F,False,,,,1,2026-06-29T17:00:00+00:00,2026-06-29T12:00:00-05:00,America/Chicago,2026-06-30T01:00:00+08:00,Houston Stadium,Houston,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021523,77,Round of 32,,1I,3CDFGH,False,,,,1,2026-06-30T21:00:00+00:00,2026-06-30T17:00:00-04:00,America/New_York,2026-07-01T05:00:00+08:00,New York/New Jersey Stadium,New Jersey,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021514,78,Round of 32,,2E,2I,False,,,,1,2026-06-30T17:00:00+00:00,2026-06-30T12:00:00-05:00,America/Chicago,2026-07-01T01:00:00+08:00,Dallas Stadium,Dallas,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021520,79,Round of 32,,1A,3CEFHI,False,,,,1,2026-07-01T01:00:00+00:00,2026-06-30T19:00:00-06:00,America/Mexico_City,2026-07-01T09:00:00+08:00,Mexico City Stadium,Mexico City,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021512,80,Round of 32,,1L,3EHIJK,False,,,,1,2026-07-01T16:00:00+00:00,2026-07-01T12:00:00-04:00,America/New_York,2026-07-02T00:00:00+08:00,Atlanta Stadium,Atlanta,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021524,81,Round of 32,,1D,3BEFIJ,False,,,,1,2026-07-02T00:00:00+00:00,2026-07-01T17:00:00-07:00,America/Los_Angeles,2026-07-02T08:00:00+08:00,San Francisco Bay Area Stadium,San Francisco Bay Area,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021525,82,Round of 32,,1G,3AEHIJ,False,,,,1,2026-07-01T20:00:00+00:00,2026-07-01T13:00:00-07:00,America/Los_Angeles,2026-07-02T04:00:00+08:00,Seattle Stadium,Seattle,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021526,83,Round of 32,,2K,2L,False,,,,1,2026-07-02T23:00:00+00:00,2026-07-02T19:00:00-04:00,America/Toronto,2026-07-03T07:00:00+08:00,Toronto Stadium,Toronto,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021519,84,Round of 32,,1H,2J,False,,,,1,2026-07-02T19:00:00+00:00,2026-07-02T12:00:00-07:00,America/Los_Angeles,2026-07-03T03:00:00+08:00,Los Angeles Stadium,Los Angeles,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021527,85,Round of 32,,1B,3EFGIJ,False,,,,1,2026-07-03T03:00:00+00:00,2026-07-02T20:00:00-07:00,America/Vancouver,2026-07-03T11:00:00+08:00,BC Place Vancouver,Vancouver,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021521,86,Round of 32,,1J,2H,False,,,,1,2026-07-03T22:00:00+00:00,2026-07-03T18:00:00-04:00,America/New_York,2026-07-04T06:00:00+08:00,Miami Stadium,Miami,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021517,87,Round of 32,,1K,3DEIJL,False,,,,1,2026-07-04T01:30:00+00:00,2026-07-03T20:30:00-05:00,America/Chicago,2026-07-04T09:30:00+08:00,Kansas City Stadium,Kansas City,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
